Product,Target Quantity
Milk - litres,3
Eggs - Case of 20,0.5
Cheese ,1
Ham,1
Grapes,1
Jam,0.5
Butter,0.25
Bananas - Case,2
Apples - Case,1
Oranges - Case,1
Bread - Loaf,2
Pumpkin Seeds,0.5
Porridge,0.5
Pasta - Dry,1
Pasta - Fresh,2
Coffee - Jar,0.25
Tea - Box,0.25
Beans - Cans,1
Rice - Pouch,1
Spuds - Bag,1
"Meat Packets - (Mince, Chops, etc.)",3
Mixed Veg - Frozen,1
Frozen Chicken - (Burgers / Nuggets / Etc.),1
Fish - (Salmon or Packets),2
Toothpaste,0.25
Mouthwash,0.5
